title,artist,album,isrc,isFound
"Save Me",XXXTENTACION,17,USUYG1156896,1
Revenge,XXXTENTACION,17,USUYG1156895,1
"Dead Inside (Interlude)",XXXTENTACION,17,USUYG1156897,1
"F**k Love (feat. Trippie Redd)",XXXTENTACION,17,USUYG1156898,1
"Carry On",XXXTENTACION,17,USUYG1156899,1
Orlando,XXXTENTACION,17,USUYG1156900,1
"Ayala (Outro)",XXXTENTACION,17,USUYG1156901,1
"Jocelyn Flores",XXXTENTACION,17,USUYG1156892,1
"Everybody Dies in Their Nightmares",XXXTENTACION,17,USUYG1156894,1
"Last Resort","Papa Roach","To Be Loved: The Best Of Papa Roach (Explicit Version)",USDW10021712,1
"When I'm Bored","Yung Simmie","When I'm Bored",TCACF1522017,1
Transportin',"Kodak Black","Project Baby 2",USAT21703144,1
"Mind Playing Tricks on Me","Geto Boys","We Can't Be Stopped",USZXT1021185,1
"Mind Playing Tricks","BADBADNOTGOOD, Ghostface Killah","Sour Soul",GBMYF1400059,1
Spaceship,"Yung Simmie","Yung Smokey",TCACN1619562,1
"Roll In Peace (feat. XXXTENTACION)","Kodak Black, XXXTENTACION","Project Baby 2",USAT21703137,1
CHICK,BROCKHAMPTON,"SATURATION II",USUYG1156291,1
JELLO,BROCKHAMPTON,"SATURATION II",USUYG1156285,1
Frieza,Chuuwee,"Super Supreme (Bonus Edition)",TCACT1636376,1
"Put That on My Set (feat. A$AP Rocky & Skepta)","A$AP Mob","Cozy Tapes, Vol. 1: Friends",USRC11602552,1
"Story: No Title","Denzel Curry",Imperial,USC4R1602011,1
"Catch Me Outside","Ski Mask the Slump God","You Will Regret (Reloaded)",USUM71709325,1
"Cocaine Dreaming (feat. Youth Is Dead)","Bodega Bamz","Sidewalk Exec",US6YF1500011,1
Rearview,"Freddie Gibbs","Shadow of a Doubt",USUYG1083052,1
GAMBA,BROCKHAMPTON,"SATURATION II",USUYG1156296,1
TEETH,BROCKHAMPTON,"SATURATION II",USUYG1156286,1
SWAMP,BROCKHAMPTON,"SATURATION II",USUYG1156287,1
QUEER,BROCKHAMPTON,"SATURATION II",USUYG1156284,1
Crescendo,"The Underachievers",Renaissance,USQY51729930,1
"The Wake","billy woods","History Will Absolve Me",USA371692439,1
"Drug Dealers Anonymous","Pusha T","Drug Dealers Anonymous",USUM71605133,1
"Good Drank (feat. Gucci Mane & Quavo)","2 Chainz","Pretty Girls Like Trap Music",USUM71616313,1
"Good Drank 2.0","2 Chainz, Gucci Mane, Quavo, The Trap Choir","Good Drank 2.0",USUM71702175,1
"Good Dope, Good Drank","Lil Johnnie","Trench Talk 3",,1
"Hammers & Vogues",Stalley,"That's My Hood Vol 1",USAMB1220020,1
"Final Destination","The Underachievers",Renaissance,USQY51728176,1
"Phoenix Feathers","The Underachievers",Renaissance,USQY51729932,1
Recuperate,"Lud Foe","Get Well Foe",QM42K1708367,1
"Night By Night",Chromeo,"Business Casual",USAT21001289,1
"Meant For Me","Kodak Black","Heart of the Projects",USUYG1093896,1
"Benji Chasin","Lil Reese","Supa Savage 2",USZEG1500887,1
Everyday,S.dot,"Call Me Dotarachi 1.5 - EP",TCACI1500788,1
"One Night (Extended)","Lil Yachty","Lil Boat",QM8DG1600318,1
"MuneyJordan SpaceGhostPurrp (Trap)",SpaceGhostPurrp,"Nasa Gang (Remastered)",TCACA1409695,1
"Just Watch (feat. Trill Sammy)","Dice Soho","0 Degrees",TCACL1640374,1
"Feel It","21 Savage / Metro Boomin","Savage Mode",QZ45A1600046,1
"Gang Gang (feat. G$ Lil Ronnie)","Go Yayo","Boom God",TCACO1608022,1
"You Was Right","Lil Uzi Vert","Lil Uzi Vert Vs. The World",USAT21601721,1
SUNNY,BROCKHAMPTON,"SATURATION II",USUYG1156297,1
SUMMER,BROCKHAMPTON,"SATURATION II",USUYG1156298,1
FIGHT,BROCKHAMPTON,"SATURATION II",USUYG1156294,1
SWEET,BROCKHAMPTON,"SATURATION II",USUYG1156295,1
SWAMP,BROCKHAMPTON,SWAMP,USUYG1154651,1
TOKYO,BROCKHAMPTON,"SATURATION II",USUYG1156289,1
GUMMY,BROCKHAMPTON,"SATURATION II",USUYG1156283,1
SCENE,BROCKHAMPTON,"SATURATION II",USUYG1156288,1
JESUS,BROCKHAMPTON,"SATURATION II",USUYG1156290,1
Junky,BROCKHAMPTON,"SATURATION II",USUYG1156292,1
"SCENE 2",BROCKHAMPTON,"SATURATION II",USUYG1156293,1
HEAT,BROCKHAMPTON,SATURATION,USUYG1144822,1
T-Shirt,Migos,Culture,QMCE31600872,1
